Align,Alive,date corrigé,EYE,First Appearance,GSM,Hair,ID,Name,SEX,Today,Universe,DC,Marvel,Number of Records,Time of existence,Total number of appearances
Good Characters,Living Characters,,Blue Eyes,01-05-1939,,Black Hair,Secret Identity,Batman (Bruce Wayne),Male Characters,02-10-2021,DC Comics,1,,1,82,3093
Good Characters,Living Characters,,Blue Eyes,01-10-1986,,Black Hair,Secret Identity,Superman (Clark Kent),Male Characters,02-10-2021,DC Comics,1,,1,35,2496
Good Characters,Living Characters,,Brown Eyes,01-10-1959,,Brown Hair,Secret Identity,Green Lantern (Hal Jordan),Male Characters,02-10-2021,DC Comics,1,,1,62,1565
Good Characters,Living Characters,,Brown Eyes,01-02-1987,,White Hair,Public Identity,James Gordon (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,1316
Good Characters,Living Characters,,Blue Eyes,01-04-1940,,Black Hair,Secret Identity,Richard Grayson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,1237
Good Characters,Living Characters,,Blue Eyes,01-12-1941,,Black Hair,Public Identity,Wonder Woman (Diana Prince),Female Characters,02-10-2021,DC Comics,1,,1,80,1231
Good Characters,Living Characters,,Blue Eyes,01-11-1941,,Blond Hair,Public Identity,Aquaman (Arthur Curry),Male Characters,02-10-2021,DC Comics,1,,1,80,1121
Good Characters,Living Characters,,Blue Eyes,01-08-1989,,Black Hair,Secret Identity,Timothy Drake (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,32,1095
Good Characters,Living Characters,,Blue Eyes,01-11-1969,,Blond Hair,Public Identity,Dinah Laurel Lance (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,52,1075
Good Characters,Living Characters,,Blue Eyes,01-10-1956,,Blond Hair,Secret Identity,Flash (Barry Allen),Male Characters,02-10-2021,DC Comics,1,,1,65,1028
Good Characters,Living Characters,,Blue Eyes,01-10-1956,,Blond Hair,Secret Identity,GenderTest,Female Characters,02-10-2021,DC Comics,1,,1,65,1028
Good Characters,Deceased Characters,,Blue Eyes,01-07-1940,,Blond Hair,Secret Identity,Alan Scott (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,969
Good Characters,Living Characters,,Blue Eyes,01-01-1967,,Red Hair,Secret Identity,Barbara Gordon (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,54,951
Good Characters,Living Characters,,Blue Eyes,01-01-1940,,Brown Hair,Public Identity,Jason Garrick (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,951
Good Characters,Living Characters,,Blue Eyes,01-06-1938,,Black Hair,Public Identity,Lois Lane (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,83,934
Good Characters,Living Characters,,Blue Eyes,01-04-1943,,Black Hair,Public Identity,Alfred Pennyworth (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,78,930
Good Characters,Living Characters,,Blue Eyes,01-01-1940,,Brown Hair,Secret Identity,Carter Hall (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,803
Good Characters,Living Characters,,Green Eyes,01-01-1994,,Black Hair,Secret Identity,Kyle Rayner (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,27,716
Good Characters,Living Characters,,Brown Eyes,01-10-1961,,,Public Identity,Raymond Palmer (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,60,706
Bad Characters,Living Characters,,Green Eyes,01-10-1986,,,Public Identity,Alexander Luthor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,677
Neutral Characters,Living Characters,,Green Eyes,01-11-1941,,Red Hair,Secret Identity,Roy Harper (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,654
Good Characters,Living Characters,,Blue Eyes,01-02-1976,,Blond Hair,Secret Identity,Kara Zor-L (Earth-Two),Female Characters,02-10-2021,DC Comics,1,,1,45,635
,Living Characters,,Blue Eyes,01-01-1942,,Black Hair,Secret Identity,Ted Grant (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,605
Good Characters,Living Characters,,Green Eyes,01-11-1965,,Green Hair,Public Identity,Garfield Logan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,56,595
Good Characters,Living Characters,,Blue Eyes,01-03-1968,,Red Hair,Public Identity,Guy Gardner (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,53,593
Good Characters,Living Characters,,Brown Eyes,01-10-1980,,Black Hair,Public Identity,Victor Stone (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,41,584
Good Characters,Living Characters,,Blue Eyes,01-06-1993,,Black Hair,Secret Identity,Kon-El (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,28,560
,Deceased Characters,,Blue Eyes,01-05-1960,,Red Hair,Public Identity,Ralph Dibny (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,61,558
Good Characters,Living Characters,,Green Eyes,01-10-1986,,Red Hair,Public Identity,James Olsen (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,557
Good Characters,Living Characters,,Brown Eyes,01-12-1971,,Black Hair,Public Identity,John Stewart (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,50,549
Bad Characters,Living Characters,,Green Eyes,01-06-1940,,Green Hair,Secret Identity,Joker (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,517
Good Characters,Living Characters,,Blue Eyes,01-04-1959,,,Public Identity,Franklin Rock (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,62,492
Good Characters,Deceased Characters,,Purple Eyes,01-02-1960,,Black Hair,Public Identity,Garth (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,61,487
,Living Characters,,Black Eyes,01-01-1965,,,Secret Identity,Rex Mason (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,56,470
Good Characters,Living Characters,,Blue Eyes,01-11-1964,,Black Hair,Public Identity,Zatanna Zatara (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,57,439
,Living Characters,,White Eyes,01-02-1940,,,Secret Identity,Aztar (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,436
,Deceased Characters,,Blue Eyes,01-02-1986,,Brown Hair,Secret Identity,Theodore Kord (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,429
Good Characters,Living Characters,,Blue Eyes,01-02-1986,,Blond Hair,Public Identity,Michael Jon Carter (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,427
Good Characters,Living Characters,,Blue Eyes,01-01-1996,,Blond Hair,Public Identity,Cassandra Sandsmark (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,25,423
Good Characters,Deceased Characters,,Blue Eyes,01-05-1940,,Blond Hair,Secret Identity,Kent Nelson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,422
Good Characters,Living Characters,,Brown Eyes,01-07-1974,,Black Hair,Public Identity,Harvey Bullock (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,47,413
Good Characters,Living Characters,,Purple Eyes,01-10-1980,,Black Hair,Secret Identity,Rachel Roth (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,41,399
Good Characters,Living Characters,,Blue Eyes,01-04-1989,,Black Hair,Secret Identity,Helena Bertinelli (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,32,393
Good Characters,Deceased Characters,,Brown Eyes,01-04-1939,,Brown Hair,Secret Identity,Wesley Dodds (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,82,391
Bad Characters,Deceased Characters,,Red Eyes,01-12-1970,,,Public Identity,Uxas (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,51,388
Good Characters,Living Characters,,Blue Eyes,01-03-1987,,White Hair,Secret Identity,Nathaniel Adam (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,386
Good Characters,Living Characters,,Blue Eyes,01-03-1978,,,Secret Identity,Ronald Raymond (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,43,386
Good Characters,Living Characters,,Green Eyes,01-08-1968,,,Secret Identity,Red Tornado (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,53,374
Good Characters,Living Characters,,Blue Eyes,01-06-1984,Bisexual Characters,Blond Hair,Public Identity,John Constantine (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,37,371
Good Characters,Deceased Characters,,Blue Eyes,01-10-1940,,Red Hair,Secret Identity,Albert Pratt (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,370
,Deceased Characters,,Blue Eyes,01-04-1941,,Blond Hair,Secret Identity,Charles McNider (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,361
Good Characters,Deceased Characters,,Brown Eyes,01-04-1941,,Brown Hair,Secret Identity,Theodore Knight (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,356
Neutral Characters,Living Characters,,Red Eyes,01-06-1983,,Black Hair,Public Identity,Lobo (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,353
,Living Characters,,Blue Eyes,01-10-1986,,Brown Hair,Public Identity,Perry White (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,350
Good Characters,Living Characters,,Brown Eyes,01-06-1993,,,Public Identity,John Henry Irons (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,28,345
Good Characters,Living Characters,,Brown Eyes,01-04-1977,,,Secret Identity,Jefferson Pierce (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,44,344
Neutral Characters,Living Characters,,Blue Eyes,01-12-1980,,White Hair,Secret Identity,Slade Wilson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,41,336
,Living Characters,,Black Eyes,01-09-1952,,Black Hair,Secret Identity,Phantom Stranger (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,69,335
Good Characters,Living Characters,,Green Eyes,01-06-1982,,Green Hair,Secret Identity,Beatriz da Costa (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,39,325
Good Characters,Living Characters,,Blue Eyes,01-02-1940,,Black Hair,Secret Identity,William Batson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,321
Neutral Characters,Living Characters,,Blue Eyes,01-10-1959,,Black Hair,Public Identity,Carol Ferris (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,62,319
,Living Characters,,Photocellular Eyes,01-06-1963,,,Public Identity,Clifford Steele (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,58,314
Neutral Characters,Living Characters,,Red Eyes,01-09-1972,,,Public Identity,Etrigan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,49,311
Good Characters,Living Characters,,Green Eyes,01-09-1983,,Green Hair,Secret Identity,Jennifer-Lynn Hayden (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,38,309
Good Characters,Living Characters,,Red Eyes,01-11-1972,,,Public Identity,Swamp Thing (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,49,309
Good Characters,Living Characters,,Brown Eyes,01-03-1992,Homosexual Characters,Black Hair,Secret Identity,Renee Montoya (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,29,308
Bad Characters,Living Characters,,Blue Eyes,01-08-1942,,Brown Hair,Public Identity,Harvey Dent (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,306
Good Characters,Living Characters,,Blue Eyes,01-07-1999,,Blond Hair,Secret Identity,Courtney Whitmore (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,22,305
Good Characters,Deceased Characters,,Hazel Eyes,01-08-1999,,Brown Hair,Secret Identity,Kendra Saunders (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,22,301
,Living Characters,,Brown Eyes,01-06-1997,,Black Hair,Secret Identity,Michael Holt (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,24,300
Good Characters,Living Characters,,Red Eyes,01-06-1986,,,Public Identity,Kilowog (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,299
Good Characters,Living Characters,,Blue Eyes,01-05-2004,,Blond Hair,Secret Identity,Kara Zor-El (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,17,297
Good Characters,Deceased Characters,,Blue Eyes,01-03-1972,,Blond Hair,Public Identity,Jonah Hex (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,49,291
Good Characters,Living Characters,,Blue Eyes,01-03-1940,,Brown Hair,Secret Identity,Rex Tyler (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,288
Neutral Characters,Living Characters,,Green Eyes,01-06-1966,,Red Hair,Secret Identity,Pamela Isley (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,55,286
Good Characters,Living Characters,,Blue Eyes,01-02-1999,,Black Hair,Secret Identity,Pieter Cross (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,22,284
Good Characters,Living Characters,,Blue Eyes,01-01-1940,,Blond Hair,Secret Identity,Jonathan L. Thunder (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,282
Good Characters,Living Characters,,Amber Eyes,01-07-1981,,Brown Hair,Secret Identity,Mari McCabe (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,40,268
Good Characters,Living Characters,,Blue Eyes,01-04-1971,,Black Hair,Secret Identity,Scott Free (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,50,268
Good Characters,Living Characters,,Blue Eyes,01-10-1986,,White Hair,Public Identity,Martha Clark (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,35,266
Good Characters,Deceased Characters,,Blue Eyes,01-10-1967,,,Secret Identity,Boston Brand (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,54,262
,Deceased Characters,,Brown Eyes,01-06-1942,,Brown Hair,Public Identity,Daniel Turpin (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,261
Good Characters,Deceased Characters,,Blue Eyes,01-06-1938,,Black Hair,Secret Identity,John Zatara (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,83,256
Good Characters,Deceased Characters,,Blue Eyes,01-10-1986,,White Hair,Public Identity,Jonathan Kent (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,35,254
,Living Characters,,Blue Eyes,01-12-1941,,Black Hair,Public Identity,Oswald Cobblepot (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,253
Good Characters,Living Characters,,Brown Eyes,01-07-1983,,Black Hair,Secret Identity,Tatsu Yamashiro (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,38,252
Good Characters,Living Characters,,Blue Eyes,01-06-1963,,Blond Hair,Secret Identity,Lawrence Trainor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,58,250
Good Characters,Living Characters,,Blue Eyes,01-09-1983,,,Secret Identity,Albert Rothstein (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,245
Good Characters,Living Characters,,Green Eyes,01-07-1983,,Strawberry Blond Hair,Secret Identity,Brion Markov (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,245
Good Characters,Living Characters,,Blue Eyes,01-12-1941,,Blond Hair,Secret Identity,Sanderson Hawkins (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,241
Good Characters,Deceased Characters,,Blue Eyes,01-09-1941,,Blond Hair,Secret Identity,Jonathan Chambers (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,239
Good Characters,Deceased Characters,,Blue Eyes,01-03-1971,,Strawberry Blond Hair,Public Identity,Orion (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,50,237
Neutral Characters,Living Characters,,Yellow Eyes,01-08-1961,,Black Hair,Public Identity,Thaal Sinestro (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,60,237
Good Characters,Living Characters,,Brown Eyes,01-07-1999,,Black Hair,Secret Identity,Cassandra Cain (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,22,235
Neutral Characters,Living Characters,,Blue Eyes,01-06-1987,,Black Hair,Secret Identity,Jason Todd (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,235
Good Characters,Deceased Characters,,,01-03-1961,,Black Hair,Public Identity,Susan Dearbon (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,60,235
Good Characters,Deceased Characters,,Blue Eyes,01-10-1992,,Blond Hair,Secret Identity,Jean-Paul Valley (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,29,234
Good Characters,Living Characters,,Blue Eyes,01-02-1987,,Black Hair,Public Identity,Hippolyta (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,34,231
Neutral Characters,Living Characters,,Green Eyes,01-05-1984,,Blond Hair,Secret Identity,Joseph Wilson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,37,229
Good Characters,Living Characters,,Blue Eyes,01-09-1965,,Blond Hair,Secret Identity,Bernhard Baker (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,56,229
Good Characters,Deceased Characters,,Blue Eyes,01-10-1941,,Black Hair,Secret Identity,Sylvester Pemberton (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,229
Good Characters,Living Characters,,Blue Eyes,01-08-1992,,Blond Hair,Public Identity,Jesse Chambers (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,29,228
Neutral Characters,Living Characters,,Blue Eyes,01-06-1950,,Brown Hair,Secret Identity,Floyd Lawton (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,71,227
,Living Characters,,Blue Eyes,01-10-1963,,Red Hair,Public Identity,Mera (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,58,226
Good Characters,Living Characters,,Blue Eyes,01-04-1988,,White Hair,Public Identity,Tora Olafsdotter (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,33,225
,Living Characters,,Brown Eyes,01-12-1960,,Brown Hair,Secret Identity,George Harkness (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,61,224
Good Characters,Living Characters,,Brown Eyes,01-11-1986,,Black Hair,Public Identity,Amanda Waller (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,35,222
Bad Characters,Living Characters,,Blue Eyes,01-09-1941,,Brown Hair,Public Identity,Jonathan Crane (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,222
,Living Characters,,Brown Eyes,01-06-1957,,Brown Hair,Secret Identity,Leonard Snart (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,64,219
Good Characters,Living Characters,,Brown Eyes,01-01-1940,,Red Hair,Secret Identity,Shiera Sanders (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,81,219
Neutral Characters,Living Characters,,Black Eyes,01-05-1987,,Brown Hair,Public Identity,Maxwell Lord IV (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,218
Good Characters,Living Characters,,Blue Eyes,01-05-1961,,Brown Hair,Public Identity,Jeb Stuart (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,60,218
Good Characters,Deceased Characters,,Blue Eyes,01-09-1987,,Black Hair,Secret Identity,Damian Wayne (Prime Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,216
Good Characters,Deceased Characters,,Blue Eyes,01-10-1971,,Black Hair,Secret Identity,Big Barda (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,50,216
Good Characters,Living Characters,,Blue Eyes,01-06-1963,,Grey Hair,Public Identity,Niles Caulder (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,58,214
Good Characters,Deceased Characters,,Blue Eyes,01-02-1940,,Red Hair,Secret Identity,James Corrigan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,214
Good Characters,Living Characters,,Grey Eyes,01-03-1937,,Grey Hair,Public Identity,Samuel Bradley (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,84,213
Good Characters,Living Characters,,Brown Eyes,01-11-1985,,Brown Hair,Public Identity,Richard Tyler (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,36,212
Good Characters,Deceased Characters,,,01-05-1961,,Brown Hair,Public Identity,James Ewell Brown Stuart (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,60,212
Good Characters,Living Characters,,Brown Eyes,01-09-1983,Homosexual Characters,Brown Hair,Public Identity,Todd Rice (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,208
Good Characters,Living Characters,,Red Eyes,01-01-1940,,,Secret Identity,Yz (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,207
Good Characters,Living Characters,,Blue Eyes,01-04-1988,,Blond Hair,Public Identity,Matrix (Pocket Universe),Female Characters,02-10-2021,DC Comics,1,,1,33,206
Good Characters,Living Characters,,,01-11-1942,,Black Hair,Public Identity,Wolfgang Winks (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,206
Good Characters,Deceased Characters,,Blue Eyes,01-06-1940,,Black Hair,Public Identity,William Glenmorgan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,199
Good Characters,Living Characters,,Blue Eyes,01-08-1992,,Blond Hair,Secret Identity,Stephanie Brown (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,29,198
Good Characters,Living Characters,,Green Eyes,01-02-1992,,Red Hair,Secret Identity,Raymond Terrill (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,29,192
Good Characters,Living Characters,,Hazel Eyes,01-06-1951,,Brown Hair,Public Identity,Adam Blake (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,70,191
,Living Characters,,Black Eyes,01-07-1985,,Black Hair,Secret Identity,Kimiyo Hoshi (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,36,189
Good Characters,Living Characters,,Blue Eyes,01-04-1968,,Black Hair,Secret Identity,Jack Ryder (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,53,188
,Living Characters,,Brown Eyes,01-12-1943,,Black Hair,Public Identity,Vandar Adg (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,78,188
Good Characters,Living Characters,,Blue Eyes,01-09-1941,,Blond Hair,Secret Identity,Justin Arthur (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,184
Good Characters,Living Characters,,Blue Eyes,01-11-1940,,Grey Hair,Secret Identity,Max Mercury (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,183
Good Characters,Living Characters,,Blue Eyes,01-01-1973,,White Hair,Public Identity,Abigail Arcane (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,48,182
Good Characters,Deceased Characters,,Blue Eyes,01-06-1947,,Blond Hair,Secret Identity,Thomas Haukins (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,74,181
,Living Characters,,Blue Eyes,01-04-1987,Homosexual Characters,,Public Identity,Margaret Sawyer (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,34,180
Bad Characters,Living Characters,,Red Eyes,01-03-1983,,,Public Identity,Waylon Jones (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,180
Good Characters,Deceased Characters,,Blue Eyes,01-11-1975,,White Hair,Public Identity,Travis Morgan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,46,180
Bad Characters,Living Characters,,Grey Eyes,01-05-1959,,Black Hair,Public Identity,Gorilla Grodd (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,62,179
Bad Characters,Deceased Characters,,Brown Eyes,01-05-1971,,Brown Hair,Secret Identity,Talia al Ghul (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,50,177
,Living Characters,,Blue Eyes,01-12-1958,,Blond Hair,Public Identity,Adam Strange (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,63,177
Good Characters,Living Characters,,Blue Eyes,01-10-1941,,Red Hair,Secret Identity,Patrick Dugan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,80,177
Good Characters,Living Characters,,Yellow Eyes,01-06-1984,,,Secret Identity,Daniel Cassidy (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,37,176
Good Characters,Living Characters,,Blue Eyes,01-01-1971,,Brown Hair,Public Identity,James Harper Clone (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,50,176
Good Characters,Living Characters,,Brown Eyes,01-10-1960,,Black Hair,Public Identity,Thomas Kalmaku (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,61,176
Good Characters,Living Characters,,Blue Eyes,01-07-1983,,Blond Hair,Secret Identity,Gabrielle Doe (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,38,175
Good Characters,Living Characters,,Red Eyes,01-06-1968,,Brown Hair,Secret Identity,Henry Hall (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,53,175
Good Characters,Living Characters,,Green Eyes,01-10-1994,,Blond Hair,Secret Identity,Connor Hawke (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,27,174
,Living Characters,,Brown Eyes,01-07-1989,,Black Hair,Public Identity,Linda Park (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,32,174
Bad Characters,Deceased Characters,,Black Eyes,01-10-1944,,White Hair,Secret Identity,Cyrus Gold (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,77,174
Neutral Characters,Living Characters,,Blue Eyes,01-01-1988,,Black Hair,Public Identity,Edward Nashton (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,33,173
Good Characters,Living Characters,,Yellow Eyes,01-05-1981,,Blond Hair,Public Identity,Arisia Rrab (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,40,173
Good Characters,Living Characters,,Red Eyes,01-04-1942,,,Secret Identity,Robert Crane (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,171
,Living Characters,,Blue Eyes,01-01-1940,,Grey Hair,Public Identity,Joan Williams (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,81,171
Good Characters,Living Characters,,Blue Eyes,01-04-1962,,Brown Hair,Public Identity,William Magnus (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,59,170
Good Characters,Living Characters,,Blue Eyes,01-04-1995,,Brown Hair,Secret Identity,Mary Batson (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,26,168
Bad Characters,Deceased Characters,,Green Eyes,01-10-1961,,Black Hair,Public Identity,Jean Loring (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,60,168
,Living Characters,,Blue Eyes,01-04-1971,,White Hair,Public Identity,Oberon (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,50,167
Good Characters,Deceased Characters,,Blue Eyes,01-04-1994,,Black Hair,Public Identity,Grant Emerson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,27,166
Good Characters,Living Characters,,Brown Eyes,01-06-1963,,Brown Hair,Secret Identity,Rita Farr (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,58,166
Good Characters,Living Characters,,Brown Eyes,01-07-2004,,Black Hair,Secret Identity,Jason Rusch (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,17,165
Good Characters,Deceased Characters,,Blue Eyes,01-09-1983,,White Hair,Secret Identity,Hector Hall (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,38,165
Good Characters,Living Characters,,Photocellular Eyes,01-04-1962,,,Secret Identity,Mercury (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,59,165
Good Characters,Living Characters,,Brown Eyes,01-02-2006,,Black Hair,Secret Identity,Jaime Reyes (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,15,164
Good Characters,Living Characters,,Photocellular Eyes,01-04-1962,,,Secret Identity,Platinum (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,59,164
Good Characters,Living Characters,,,01-06-1942,,Brown Hair,Public Identity,Andre Chavard (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,164
Good Characters,Deceased Characters,,Black Eyes,01-02-1942,,Black Hair,Secret Identity,Daniel Leong (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,79,164
Good Characters,Living Characters,,Green Eyes,01-02-1964,,Blond Hair,Public Identity,Vril Dox II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,57,163
Good Characters,Living Characters,,Blue Eyes,01-11-1949,,Brown Hair,Public Identity,"Roy Raymond, Sr. (New Earth)",Male Characters,02-10-2021,DC Comics,1,,1,72,163
,Living Characters,,Blue Eyes,01-07-1940,,White Hair,Secret Identity,Uncle Sam (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,162
